FILE	missing	percentage
GCA_039833995.1	50335	0.9146164189410183
GCA_002117205.1	50361	0.9150888541628811
GCA_963874085.1	50361	0.9150888541628811
GCA_051020715.1	50425	0.9162517716320819
GCA_963880135.1	50428	0.9163062833884508
GCA_003522555.1	50428	0.9163062833884508
GCA_036597035.1	50467	0.9170149362212451
GCA_015968555.1	50481	0.9172693244176328
GCA_030701745.1	50496	0.9175418831994767
GCA_030421505.1	50496	0.9175418831994767
GCA_963866685.1	50497	0.917560053784933
GCA_000959825.1	50497	0.917560053784933
GCA_032048395.1	50536	0.9182687066177272
GCA_032778185.1	50562	0.9187411418395901
GCA_963877955.1	50856	0.9240832939637316
GCA_002903785.1	50856	0.9240832939637316
GCA_047315165.1	50894	0.9247737762110695
GCA_032779285.1	50912	0.9251008467492823
GCA_036598805.1	50979	0.926318275974852
GCA_039834015.1	50985	0.9264272994875895
GCA_036598785.1	50989	0.9264999818294145
GCA_039834035.1	50990	0.9265181524148708
GCA_015821405.1	51006	0.926808881782171
GCA_039834155.1	51063	0.927844605153178
GCA_039834195.1	51063	0.927844605153178
GCA_039834215.1	51081	0.9281716756913908
GCA_015776235.1	51087	0.9282806992041284
GCA_036698325.1	51096	0.9284442344732348
GCA_041647735.1	51100	0.9285169168150598
GCA_030703065.1	51101	0.928535087400516
GCA_030419285.1	51101	0.928535087400516
GCA_015351365.1	51104	0.9285895991568849
GCA_036598665.1	51111	0.9287167932550787
GCA_025994915.1	51119	0.9288621579387288
GCA_002903805.1	51120	0.928880328524185
GCA_963877965.1	51120	0.928880328524185
GCA_030703165.1	51130	0.9290620343787477
GCA_030419385.1	51130	0.9290620343787477
GCA_036598445.1	51132	0.9290983755496602
GCA_030419835.1	51141	0.9292619108187665
GCA_030703585.1	51141	0.9292619108187665
GCA_015776195.1	51142	0.9292800814042228
GCA_963865185.1	51143	0.9292982519896791
GCA_000743155.1	51143	0.9292982519896791
GCA_036598495.1	51146	0.9293527637460479
GCA_003184085.1	51156	0.9295344696006105
GCA_963878495.1	51157	0.9295526401860668
GCA_017291195.1	51158	0.929570810771523
GCA_963891065.1	51158	0.929570810771523
GCA_963867115.1	51162	0.9296434931133482
GCA_001013325.1	51162	0.9296434931133482
GCA_032049995.1	51162	0.9296434931133482
GCA_052823845.1	51178	0.9299342224806484
GCA_963881295.1	51183	0.9300250754079297
GCA_004214765.1	51183	0.9300250754079297
GCA_030422625.1	51189	0.9301340989206672
GCA_036598915.1	51189	0.9301340989206672
GCA_047315225.1	51189	0.9301340989206672
GCA_030702805.1	51189	0.9301340989206672
GCA_039834135.1	51195	0.9302431224334048
GCA_031438285.1	51196	0.9302612930188611
GCA_039834075.1	51198	0.9302976341897736
GCA_015776635.1	51199	0.9303158047752299
GCA_041647775.1	51201	0.9303521459461424
GCA_032049935.1	51201	0.9303521459461424
GCA_052715805.1	51202	0.9303703165315986
GCA_047315105.1	51209	0.9304975106297925
GCA_963877175.1	51210	0.9305156812152487
GCA_002891755.1	51210	0.9305156812152487
GCA_015776315.1	51211	0.930533851800705
GCA_036598015.1	51214	0.9305883635570737
GCA_032047595.1	51217	0.9306428753134426
GCA_015820965.1	51218	0.9306610458988989
GCA_043696715.1	51218	0.9306610458988989
GCA_963891485.1	51220	0.9306973870698114
GCA_017290475.1	51220	0.9306973870698114
GCA_017123195.1	51231	0.9308972635098303
GCA_030419805.1	51232	0.9309154340952865
GCA_030703565.1	51232	0.9309154340952865
GCA_963891245.1	51234	0.9309517752661991
GCA_017291135.1	51234	0.9309517752661991
GCA_036598865.1	51237	0.9310062870225678
GCA_963882225.1	51238	0.9310244576080241
GCA_004214665.1	51238	0.9310244576080241
GCA_032050215.1	51239	0.9310426281934804
GCA_002903765.1	51239	0.9310426281934804
GCA_963877975.1	51239	0.9310426281934804
GCA_036598055.1	51241	0.9310789693643929
GCA_963894815.1	51242	0.9310971399498492
GCA_020169615.1	51242	0.9310971399498492
GCA_032049715.1	51244	0.9311334811207617
GCA_047315085.1	51246	0.9311698222916742
GCA_002903505.1	51251	0.9312606752189556
GCA_040405805.1	51251	0.9312606752189556
GCA_963877805.1	51251	0.9312606752189556
GCA_022808475.1	51252	0.9312788458044118
GCA_963898785.1	51252	0.9312788458044118
GCA_036598745.1	51253	0.9312970163898681
GCA_017290755.1	51254	0.9313151869753243
GCA_963890885.1	51254	0.9313151869753243
GCA_036598525.1	51256	0.9313515281462369
GCA_014107515.1	51258	0.9313878693171493
GCA_963889435.1	51258	0.9313878693171493
GCA_017291165.1	51259	0.9314060399026056
GCA_963891135.1	51259	0.9314060399026056
GCA_033949285.1	51262	0.9314605516589745
GCA_002903465.1	51263	0.9314787222444307
GCA_041508175.1	51263	0.9314787222444307
GCA_036598265.1	51266	0.9315332340007995
GCA_047044505.1	51266	0.9315332340007995
GCA_030704025.1	51267	0.9315514045862557
GCA_000967055.1	51267	0.9315514045862557
GCA_042513415.1	51267	0.9315514045862557
GCA_030419715.1	51267	0.9315514045862557
GCA_963866655.1	51267	0.9315514045862557
GCA_033038725.1	51268	0.931569575171712
GCA_963892305.1	51268	0.931569575171712
GCA_015351355.1	51268	0.931569575171712
GCA_025655015.1	51271	0.9316240869280809
GCA_040240005.1	51272	0.9316422575135371
GCA_043696855.1	51272	0.9316422575135371
GCA_030702845.1	51272	0.9316422575135371
GCA_030419645.1	51272	0.9316422575135371
GCA_030422645.1	51272	0.9316422575135371
GCA_030703415.1	51272	0.9316422575135371
GCA_036598325.1	51272	0.9316422575135371
GCA_025654975.1	51272	0.9316422575135371
GCA_030704145.1	51272	0.9316422575135371
GCA_030420405.1	51273	0.9316604280989933
GCA_052971935.1	51274	0.9316785986844496
GCA_047315045.1	51274	0.9316785986844496
GCA_963891055.1	51276	0.9317149398553621
GCA_017291155.1	51276	0.9317149398553621
GCA_036596305.1	51277	0.9317331104408184
GCA_030422455.1	51278	0.9317512810262747
GCA_030702665.1	51278	0.9317512810262747
GCA_036596325.1	51279	0.931769451611731
GCA_004215315.1	51280	0.9317876221971872
GCA_963880975.1	51280	0.9317876221971872
GCA_052824865.1	51282	0.9318239633680997
GCA_052244395.1	51282	0.9318239633680997
GCA_025655275.1	51284	0.9318603045390123
GCA_030702015.1	51284	0.9318603045390123
GCA_030421755.1	51284	0.9318603045390123
GCA_024743455.1	51284	0.9318603045390123
GCA_030422445.1	51285	0.9318784751244685
GCA_030704945.1	51285	0.9318784751244685
GCA_030422395.1	51287	0.931914816295381
GCA_030702645.1	51287	0.931914816295381
GCA_025659755.1	51287	0.931914816295381
GCA_963877485.1	51288	0.9319329868808373
GCA_036597755.1	51288	0.9319329868808373
GCA_017290195.1	51288	0.9319329868808373
GCA_030701085.1	51289	0.9319511574662935
GCA_963891805.1	51289	0.9319511574662935
GCA_030420885.1	51289	0.9319511574662935
GCA_002903365.1	51289	0.9319511574662935
GCA_963892255.1	51291	0.9319874986372061
GCA_015351545.2	51291	0.9319874986372061
GCA_052824085.1	51292	0.9320056692226624
GCA_040240055.1	51292	0.9320056692226624
GCA_030701365.1	51293	0.9320238398081186
GCA_030420245.1	51293	0.9320238398081186
GCA_052824305.1	51293	0.9320238398081186
GCA_030419825.1	51293	0.9320238398081186
GCA_030703545.1	51293	0.9320238398081186
GCA_030704045.1	51293	0.9320238398081186
GCA_030421165.1	51293	0.9320238398081186
GCA_051867255.1	51294	0.9320420103935749
GCA_031883075.1	51295	0.9320601809790312
GCA_051724765.1	51296	0.9320783515644874
GCA_052827885.1	51296	0.9320783515644874
GCA_017290675.1	51296	0.9320783515644874
GCA_963890695.1	51296	0.9320783515644874
GCA_043697855.1	51296	0.9320783515644874
GCA_020169625.1	51297	0.9320965221499437
GCA_963896115.1	51297	0.9320965221499437
GCA_025659895.1	51298	0.9321146927353999
GCA_963878725.1	51298	0.9321146927353999
GCA_052824565.1	51298	0.9321146927353999
GCA_003072025.1	51298	0.9321146927353999
GCA_047315005.1	51299	0.9321328633208562
GCA_052824205.1	51300	0.9321510339063125
GCA_020238425.1	51300	0.9321510339063125
GCA_036597135.1	51300	0.9321510339063125
GCA_043696895.1	51301	0.9321692044917688
GCA_052824185.1	51302	0.9321873750772249
GCA_015776295.1	51302	0.9321873750772249
GCA_023768185.1	51303	0.9322055456626812
GCA_052824325.1	51303	0.9322055456626812
GCA_030703625.1	51304	0.9322237162481375
GCA_019188065.1	51304	0.9322237162481375
GCA_030419885.1	51304	0.9322237162481375
GCA_043697995.1	51304	0.9322237162481375
GCA_030703405.1	51305	0.9322418868335938
GCA_043695555.1	51305	0.9322418868335938
GCA_030419685.1	51305	0.9322418868335938
GCA_963877205.1	51306	0.93226005741905
GCA_002903885.1	51306	0.93226005741905
GCA_016094345.1	51306	0.93226005741905
GCA_963891765.1	51306	0.93226005741905
GCA_052824105.1	51306	0.93226005741905
GCA_030702905.1	51307	0.9322782280045063
GCA_030419225.1	51307	0.9322782280045063
GCA_052823905.1	51307	0.9322782280045063
GCA_036598965.1	51308	0.9322963985899626
GCA_036597355.1	51308	0.9322963985899626
GCA_015777235.1	51308	0.9322963985899626
GCA_963871615.1	51309	0.9323145691754189
GCA_015783255.1	51309	0.9323145691754189
GCA_002074885.2	51309	0.9323145691754189
GCA_036598825.1	51310	0.932332739760875
GCA_051523015.1	51310	0.932332739760875
GCA_963864835.1	51311	0.9323509103463313
GCA_000743165.1	51311	0.9323509103463313
GCA_963894455.1	51312	0.9323690809317876
GCA_047315265.1	51312	0.9323690809317876
GCA_020252285.1	51312	0.9323690809317876
GCA_044863385.1	51312	0.9323690809317876
GCA_015838595.1	51315	0.9324235926881564
GCA_015790595.1	51315	0.9324235926881564
GCA_036598205.1	51315	0.9324235926881564
GCA_000959745.1	51316	0.9324417632736127
GCA_963866105.1	51316	0.9324417632736127
